Commanded Current, Current, Commanded Velocity, Velocity, Electrical Angle, Position Error, 
281, 254, 33314, 33526, 123, -143, 
382, 332, 34002, 33574, 267, 1153, 
343, 364, 33650, 33560, 410, -723, 
461, 436, 34018, 33505, 553, -520, 
313, 280, 33234, 33622, 697, -432, 
376, 365, 33650, 33560, 840, 802, 
426, 464, 33906, 33512, 984, 1288, 
308, 319, 32914, 33567, 103, -1630, 
311, 295, 33346, 33594, 247, -513, 
401, 328, 34018, 33560, 390, 1600, 
388, 434, 33970, 33512, 533, 758, 
362, 308, 33762, 33560, 677, 959, 
277, 271, 33282, 33560, 820, -1120, 
321, 284, 33522, 33546, 963, -595, 
303, 328, 33394, 33560, 82, -1629, 
242, 312, 33234, 33594, 226, -146, 
314, 356, 33650, 33546, 369, -391, 
380, 387, 33730, 33567, 512, 127, 
439, 364, 34018, 33532, 656, 1438, 
290, 334, 33186, 33560, 799, -796, 
406, 357, 33698, 33608, 943, -428, 
409, 407, 33490, 33540, 62, -1538, 
258, 325, 33106, 33567, 206, -645, 
278, 297, 33394, 33546, 349, 439, 
325, 344, 33810, 33580, 492, 1695, 
315, 266, 33442, 33553, 636, -100, 
247, 271, 33170, 33540, 779, -1480, 
392, 336, 34098, 33560, 922, 975, 
361, 390, 33794, 33512, 41, 284, 
269, 345, 33490, 33532, 185, 350, 
274, 330, 33394, 33567, 328, 619, 
341, 434, 33618, 33505, 471, 611, 
333, 363, 33234, 33567, 615, -486, 
380, 368, 33554, 33532, 758, -737, 
395, 469, 33826, 33546, 902, 1395, 
468, 421, 33810, 33546, 21, -220, 
403, 380, 33810, 33567, 165, 1438, 
325, 351, 33522, 33546, 308, 191, 
312, 296, 33522, 33526, 451, -960, 
264, 306, 33090, 33567, 595, -1457, 
341, 272, 33634, 33587, 738, -282, 
331, 348, 33858, 33532, 881, 1077, 
293, 326, 33442, 33574, 1, -670, 
410, 225, 34018, 33580, 144, 2457, 
293, 328, 33458, 33546, 287, 90, 
430, 348, 34002, 33546, 430, 164, 
328, 373, 33154, 33532, 574, -1471, 
359, 391, 33602, 33512, 717, -349, 
396, 374, 33746, 33560, 861, 585, 
432, 407, 33746, 33553, 1004, -207, 
264, 364, 32882, 33532, 124, -343, 
350, 288, 33458, 33532, 267, -1119, 
355, 343, 33842, 33560, 410, 736, 
303, 410, 33426, 33512, 554, 476, 
273, 346, 33394, 33560, 697, 535, 
322, 385, 33762, 33519, 840, 1006, 
332, 357, 33746, 33540, 984, 869, 
303, 332, 33378, 33546, 103, -72, 
333, 354, 33698, 33526, 246, 268, 
381, 335, 33730, 33546, 389, 201, 
390, 443, 33730, 33580, 533, 301, 
382, 378, 33714, 33546, 676, 1555, 
322, 439, 33506, 33540, 820, 1516, 
391, 366, 33490, 33546, 963, -859, 
430, 330, 33458, 33567, 83, -1610, 
390, 346, 33730, 33546, 226, 591, 
350, 304, 33618, 33491, 369, -910, 
347, 402, 33746, 33560, 513, 456, 
319, 305, 33474, 33567, 656, 280, 
255, 257, 33138, 33553, 799, -1180, 
309, 348, 33570, 33574, 943, -73, 
329, 338, 33474, 33608, 62, -651, 
256, 313, 33250, 33560, 205, -241, 
347, 323, 33650, 33560, 348, -7, 
348, 398, 33586, 33574, 492, 713, 
366, 337, 33426, 33532, 635, 140, 
422, 375, 33858, 33567, 779, 514, 
429, 407, 33874, 33546, 922, 164, 
479, 500, 33922, 33512, 41, -237, 
363, 318, 33490, 33560, 185, 347, 
273, 219, 33218, 33615, 328, -202, 
239, 346, 33282, 33567, 472, 432, 
250, 248, 32946, 33540, 615, -2649, 
267, 362, 33458, 33553, 758, -432, 
359, 382, 34002, 33512, 902, 1515, 
311, 305, 33410, 33587, 21, -1265, 
358, 284, 33842, 33553, 164, 1226, 
346, 313, 33714, 33540, 307, 47, 
445, 319, 33986, 33580, 451, 169, 
399, 370, 33570, 33567, 594, -333, 
364, 379, 33618, 33560, 738, 360, 
361, 408, 33602, 33519, 881, 557, 
359, 445, 33522, 33567, 0, 1196, 
349, 330, 33490, 33580, 144, 1485, 
256, 302, 33186, 33560, 287, 43, 
258, 297, 33378, 33540, 431, -65, 
305, 307, 33410, 33580, 574, -1416, 
321, 280, 33602, 33540, 717, -616, 
301, 292, 33554, 33546, 861, -87, 
400, 337, 34066, 33567, 1004, 527, 
296, 268, 33378, 33546, 123, 210, 
350, 334, 33794, 33574, 266, 1598, 
321, 368, 33442, 33574, 410, -474, 
424, 406, 33650, 33540, 553, -1346, 
390, 358, 33634, 33574, 697, 749, 
385, 393, 33634, 33540, 840, 111, 
418, 413, 33698, 33519, 983, 13, 
406, 324, 33362, 33560, 103, -723, 
263, 362, 33170, 33615, 246, 722, 
329, 241, 33522, 33567, 390, 112, 
336, 334, 33538, 33553, 533, -895, 
257, 282, 33170, 33587, 676, 72, 
250, 324, 33378, 33574, 820, 521, 
215, 308, 33074, 33553, 963, -1366, 
280, 353, 33314, 33580, 82, -64, 
306, 358, 33650, 33526, 226, 848, 
436, 286, 34114, 33519, 369, 227, 
402, 387, 33874, 33594, 512, 1503, 
429, 389, 34018, 33512, 656, 1922, 
402, 321, 33794, 33540, 799, 749, 
438, 333, 33810, 33587, 942, 333, 
387, 402, 33426, 33567, 62, -1052, 
338, 284, 33346, 33526, 205, -1569, 
315, 300, 33586, 33540, 349, 654, 
328, 384, 33858, 33540, 492, 1913, 
341, 292, 33634, 33512, 636, 339, 
282, 294, 33410, 33526, 779, -945, 
370, 321, 33954, 33546, 922, 230, 
344, 346, 33602, 33532, 41, -693, 
234, 353, 33314, 33587, 185, 1051, 
246, 382, 33378, 33574, 328, 603, 
311, 343, 33314, 33540, 471, -1404, 
418, 324, 33634, 33526, 615, -611, 
385, 371, 33650, 33574, 758, -216, 
435, 436, 34018, 33526, 901, 931, 
476, 473, 33970, 33532, 21, 154, 
348, 363, 33522, 33574, 164, 966, 
272, 278, 33218, 33580, 308, -989, 
326, 367, 33762, 33526, 451, 623, 
363, 330, 33714, 33567, 595, -55, 
262, 258, 33218, 33594, 738, -885, 
296, 272, 33490, 33567, 881, -577, 
347, 367, 33810, 33553, 0, 1629, 
244, 353, 33346, 33532, 144, 1854, 
274, 343, 33490, 33574, 287, 131, 
375, 356, 33826, 33560, 430, 1062, 
459, 337, 33794, 33505, 574, -793, 
324, 373, 33442, 33553, 717, 411, 
402, 326, 33826, 33580, 860, 854, 
379, 352, 33506, 33567, 1004, -535, 
349, 397, 33490, 33491, 123, 430, 
269, 241, 33042, 33526, 267, -1869, 
310, 355, 33714, 33553, 410, 1197, 
386, 374, 33874, 33532, 554, 654, 
207, 404, 33202, 33567, 697, 211, 
323, 315, 33762, 33553, 840, 1251, 
300, 316, 33506, 33532, 983, -36, 
343, 325, 33634, 33532, 103, 545, 
311, 343, 33634, 33553, 246, -456, 
320, 347, 33506, 33567, 389, -501, 
455, 446, 34050, 33540, 533, 746, 
338, 381, 33490, 33587, 676, 1435, 
373, 371, 33634, 33574, 819, 1000, 
385, 415, 33586, 33560, 963, -93, 
359, 382, 33186, 33546, 82, -1570, 
290, 340, 33250, 33567, 226, 382, 
315, 291, 33506, 33560, 369, -313, 
288, 331, 33346, 33615, 513, -68, 
248, 306, 33186, 33560, 656, -126, 
294, 227, 33298, 33546, 799, -1846, 
275, 355, 33458, 33587, 942, 504, 
401, 341, 33810, 33532, 62, 142, 
294, 291, 33442, 33560, 205, -819, 
360, 364, 33826, 33526, 348, 307, 
355, 335, 33474, 33560, 492, -119, 
327, 285, 33154, 33553, 635, -876, 
285, 352, 33122, 33574, 778, -883, 
266, 459, 33154, 33580, 922, 400, 
513, 393, 33922, 33519, 41, -1113, 
308, 271, 33154, 33540, 185, -411, 
255, 268, 33250, 33608, 328, 520, 
361, 331, 33874, 33532, 472, 1017, 
303, 261, 33234, 33574, 615, -1234, 
366, 326, 33890, 33546, 758, 1108, 
306, 321, 33586, 33540, 901, 314, 
264, 343, 33234, 33560, 21, -592, 
330, 320, 33714, 33560, 164, 912, 
307, 328, 33442, 33526, 307, -995, 
382, 375, 33762, 33574, 451, 221, 
326, 415, 33250, 33553, 594, 43, 
346, 345, 33442, 33560, 737, 158, 
353, 417, 33554, 33560, 881, 816, 
461, 479, 34082, 33553, 0, 2492, 
330, 294, 33250, 33594, 144, 1241, 
365, 326, 33666, 33519, 287, -73, 
300, 242, 33394, 33601, 431, -777, 
344, 290, 33394, 33574, 574, -2247, 
328, 242, 33490, 33567, 717, -1315, 
330, 254, 33602, 33553, 861, -764, 
323, 266, 33522, 33601, 1004, -610, 
216, 261, 32898, 33574, 123, -926, 
393, 355, 34050, 33553, 266, 1488, 
331, 420, 33634, 33512, 410, -243, 
424, 437, 33826, 33526, 553, -251, 
362, 369, 33586, 33567, 696, 449, 
318, 388, 33426, 33567, 840, 617, 
491, 433, 34146, 33512, 983, 1394, 
357, 350, 33234, 33560, 103, -1103, 
350, 387, 33714, 33560, 246, 884, 
345, 339, 33842, 33553, 390, 2200, 
403, 337, 33970, 33512, 533, 25, 
278, 317, 33474, 33567, 676, 999, 
300, 360, 33698, 33491, 820, 1143, 
285, 340, 33570, 33546, 963, 631, 
230, 326, 33074, 33601, 82, -1181, 
262, 259, 33314, 33574, 225, -1115, 
366, 399, 33938, 33553, 369, 1544, 
367, 435, 33714, 33553, 512, 619, 
401, 277, 33634, 33553, 655, -206, 
340, 371, 33522, 33540, 799, -295, 
363, 387, 33554, 33608, 942, 492, 
386, 398, 33346, 33567, 62, -556, 
339, 243, 33346, 33540, 205, -1469, 
354, 295, 33794, 33580, 349, 1077, 
383, 285, 34018, 33567, 492, 1051, 
320, 283, 33522, 33505, 635, -313, 
206, 237, 32962, 33587, 779, -1422, 
267, 293, 33346, 33546, 922, -906, 
266, 372, 33218, 33526, 41, -1600, 
282, 325, 33586, 33546, 184, 453, 
272, 378, 33490, 33546, 328, 1762, 
413, 388, 33970, 33532, 471, 631, 
278, 316, 32994, 33587, 614, -574, 
345, 288, 33346, 33587, 758, -1426, 
430, 385, 33890, 33526, 901, -472, 
529, 445, 34274, 33519, 21, 391, 
339, 350, 33490, 33553, 164, 508, 
323, 326, 33570, 33485, 308, -265, 
287, 297, 33474, 33560, 451, 829, 
310, 378, 33538, 33519, 594, 54, 
337, 340, 33842, 33491, 738, 686, 
318, 305, 33762, 33540, 881, 1345, 
306, 335, 33634, 33574, 0, 758, 
261, 296, 33394, 33526, 143, 2, 
266, 298, 33426, 33560, 287, -609, 
401, 342, 33938, 33574, 430, 377, 
374, 348, 33426, 33526, 573, -1504, 
335, 345, 33474, 33540, 717, 28, 
426, 304, 33890, 33574, 860, 750, 
398, 392, 33714, 33540, 1004, 652, 
332, 369, 33330, 33485, 123, -329, 
275, 279, 33250, 33567, 267, -429, 
179, 345, 33090, 33553, 410, -1010, 
275, 350, 33378, 33567, 553, -492, 
271, 268, 33346, 33560, 697, -131, 
361, 281, 33938, 33560, 840, 506, 
330, 290, 33682, 33512, 983, -616, 
318, 233, 33410, 33587, 102, -702, 
191, 287, 32946, 33580, 246, -1303, 
321, 356, 33586, 33574, 389, 257, 
389, 353, 33666, 33580, 532, 57, 
354, 430, 33714, 33546, 676, 1693, 
349, 320, 33490, 33560, 819, -279, 
348, 405, 33458, 33567, 963, -80, 
445, 379, 33762, 33526, 82, -159, 
331, 299, 33474, 33553, 226, 206, 
277, 243, 33330, 33546, 369, -1018, 
339, 309, 33698, 33574, 512, 320, 
315, 382, 33666, 33546, 656, 2329, 
255, 262, 33202, 33567, 799, -1218, 
250, 374, 33426, 33574, 942, 604, 
381, 321, 33762, 33553, 62, -577, 
318, 310, 33682, 33567, 205, 770, 
260, 351, 33378, 33580, 348, 354, 
389, 380, 33826, 33526, 491, 938, 
333, 339, 33426, 33540, 635, 1310, 
401, 332, 33810, 33574, 778, 1385, 
321, 461, 33522, 33553, 922, 874, 
376, 401, 33426, 33526, 41, -1520, 
298, 330, 33330, 33601, 185, 1040, 
328, 264, 33602, 33574, 328, 33, 
228, 268, 33138, 33553, 471, -1200, 
260, 324, 33170, 33532, 615, -1478, 
275, 317, 33394, 33560, 758, -815, 
284, 340, 33618, 33526, 901, -175, 
361, 334, 33762, 33574, 21, -869, 
337, 228, 33586, 33560, 164, 61, 
266, 245, 33154, 33553, 307, -2397, 
424, 271, 33730, 33580, 450, -1848, 
407, 398, 33634, 33526, 594, -836, 
317, 356, 33282, 33574, 737, -815, 
379, 452, 33778, 33574, 881, 808, 
408, 433, 33714, 33567, 0, 1199, 
335, 332, 33250, 33546, 144, 814, 
301, 319, 33362, 33526, 287, -263, 
362, 289, 33826, 33540, 430, 22, 
352, 358, 33682, 33546, 574, -466, 
315, 307, 33586, 33546, 717, -63, 
333, 321, 33794, 33526, 860, 548, 
378, 326, 33922, 33546, 1004, 1225, 
318, 297, 33586, 33532, 123, 316, 
343, 312, 33778, 33580, 266, 775, 
386, 305, 33714, 33526, 409, -1400, 
310, 396, 33138, 33574, 553, -2157, 
382, 351, 33682, 33553, 696, 197, 
311, 354, 33298, 33574, 840, -92, 
368, 375, 33458, 33546, 983, -551, 
362, 361, 33346, 33580, 103, -497, 
308, 322, 33442, 33594, 246, 133, 
325, 195, 33474, 33546, 389, -921, 
415, 346, 34130, 33526, 533, -296, 
282, 310, 33506, 33546, 676, 197, 
225, 241, 33138, 33567, 819, -739, 
287, 286, 33490, 33574, 963, -330, 
188, 312, 32834, 33574, 82, -1767, 
281, 333, 33474, 33512, 225, -1129, 
348, 266, 33650, 33580, 368, -579, 
391, 393, 33874, 33580, 512, 980, 
365, 242, 33490, 33540, 655, -854, 
382, 332, 33730, 33526, 799, -545, 
365, 359, 33538, 33587, 942, -515, 
386, 392, 33474, 33560, 62, -491, 
284, 289, 33106, 33532, 205, -1605, 
294, 281, 33538, 33601, 348, 862, 
265, 318, 33410, 33567, 492, -381, 
324, 266, 33458, 33526, 635, -347, 
271, 319, 33426, 33560, 778, -117, 
324, 355, 33730, 33532, 922, 1773, 
299, 367, 33522, 33546, 41, 36, 
253, 295, 33426, 33574, 184, -101, 
288, 372, 33618, 33519, 327, 1060, 
420, 286, 33858, 33526, 471, -1203, 
311, 273, 33106, 33567, 614, -1446, 
286, 314, 33138, 33553, 758, -1243, 
443, 343, 33938, 33546, 901, -119, 
484, 445, 34098, 33553, 21, 418, 
338, 351, 33474, 33580, 164, 304, 
264, 329, 33314, 33532, 307, -112, 
358, 312, 33890, 33546, 451, 573, 
271, 309, 33170, 33587, 594, -1081, 
312, 299, 33602, 33546, 737, -26, 
293, 314, 33602, 33532, 881, 542, 
288, 465, 33714, 33519, 0, 724, 
249, 301, 33266, 33553, 143, 281, 
234, 286, 33138, 33594, 287, -569, 
378, 331, 33810, 33560, 430, 805, 
359, 378, 33378, 33526, 573, -1602, 
314, 401, 33458, 33567, 717, 400, 
432, 299, 33906, 33587, 860, 107, 
363, 379, 33410, 33540, 1004, -515, 
334, 333, 33330, 33532, 123, 369, 
288, 303, 33314, 33553, 266, -448, 
267, 328, 33442, 33553, 410, -23, 
313, 320, 33490, 33546, 553, -1456, 
361, 293, 33858, 33567, 696, 377, 
156, 277, 32850, 33608, 840, -259, 
273, 271, 33314, 33574, 983, -880, 
331, 275, 33538, 33560, 102, 398, 
344, 279, 33698, 33546, 246, 390, 
447, 355, 34146, 33567, 389, 1392, 
416, 468, 33922, 33574, 532, 1625, 
448, 429, 34210, 33526, 676, 2658, 
370, 358, 33602, 33526, 819, 205, 
399, 433, 33778, 33546, 962, 795, 
403, 365, 33442, 33540, 82, -1219, 
358, 295, 33474, 33505, 225, -802, 
325, 376, 33730, 33532, 369, 549, 
444, 379, 34290, 33532, 512, 2188, 
276, 312, 33282, 33540, 656, 491, 
293, 308, 33458, 33540, 799, -49, 
286, 325, 33522, 33567, 942, -104, 
387, 321, 33810, 33512, 61, -747, 
373, 327, 34050, 33560, 205, 1161, 
238, 299, 33154, 33574, 348, -377, 
376, 337, 33698, 33540, 491, 318, 
324, 362, 33426, 33553, 635, 1089, 
357, 343, 33618, 33546, 778, 83, 
406, 448, 33954, 33505, 921, 519, 
396, 458, 33666, 33546, 41, -290, 
295, 298, 33266, 33601, 184, 492, 
189, 348, 33010, 33580, 328, -115, 
300, 251, 33410, 33546, 471, -1640, 
271, 300, 33138, 33587, 615, -1249, 
317, 259, 33442, 33574, 758, -52, 
276, 326, 33410, 33540, 901, -21, 
370, 409, 33906, 33567, 20, 1091, 
419, 363, 34258, 33498, 164, 3048, 
316, 254, 33442, 33553, 307, -1055, 
353, 346, 33602, 33594, 450, -530, 
340, 355, 33250, 33546, 594, -965, 
347, 308, 33362, 33580, 737, -386, 
453, 413, 34082, 33546, 880, 899, 
432, 429, 33794, 33580, 0, 1101, 
271, 333, 32946, 33553, 143, 528, 
346, 399, 33746, 33526, 287, 1294, 
309, 335, 33618, 33553, 430, 863, 
376, 366, 33714, 33512, 574, -340, 
361, 356, 33858, 33546, 717, 904, 
289, 359, 33650, 33540, 860, 1230, 
294, 336, 33474, 33540, 1003, 270, 
246, 289, 33186, 33560, 123, 372, 
257, 298, 33186, 33560, 266, -583, 
355, 335, 33570, 33526, 409, -1756, 
450, 407, 33842, 33560, 553, -870, 
320, 347, 33330, 33587, 696, -253, 
374, 400, 33714, 33491, 839, -32, 
432, 419, 33890, 33546, 983, 882, 
355, 284, 33154, 33594, 102, -647, 
198, 340, 32882, 33594, 246, -332, 
309, 302, 33586, 33546, 389, -184, 
316, 364, 33602, 33580, 533, 270, 
315, 303, 33650, 33560, 676, 651, 
194, 276, 33010, 33540, 819, -932, 
297, 327, 33586, 33580, 962, 797, 
263, 254, 33074, 33594, 82, -1399, 
307, 328, 33570, 33512, 225, -448, 
382, 310, 33842, 33567, 368, -289, 
378, 379, 33618, 33560, 512, 364, 
389, 316, 33538, 33560, 655, -448, 
432, 356, 33922, 33546, 798, -15, 
402, 363, 33602, 33567, 942, -967, 
